Station ID,Time,Out,In,Delta
0,2017-08-01 00:00:00,12,10,-2
0,2017-08-01 02:00:00,8,3,-5
0,2017-08-01 04:00:00,9,7,-2
0,2017-08-01 06:00:00,187,176,-11
0,2017-08-01 08:00:00,427,476,49
0,2017-08-01 10:00:00,132,115,-17
0,2017-08-01 12:00:00,117,115,-2
0,2017-08-01 14:00:00,137,114,-23
0,2017-08-01 16:00:00,362,290,-72
0,2017-08-01 18:00:00,405,424,19
0,2017-08-01 20:00:00,120,148,28
0,2017-08-01 22:00:00,70,71,1
0,2017-08-02 00:00:00,28,22,-6
0,2017-08-02 02:00:00,7,4,-3
0,2017-08-02 04:00:00,6,9,3
0,2017-08-02 06:00:00,204,176,-28
0,2017-08-02 08:00:00,431,465,34
0,2017-08-02 10:00:00,111,131,20
0,2017-08-02 12:00:00,76,68,-8
0,2017-08-02 14:00:00,34,32,-2
0,2017-08-02 16:00:00,201,163,-38
0,2017-08-02 18:00:00,315,332,17
0,2017-08-02 20:00:00,111,110,-1
0,2017-08-02 22:00:00,82,58,-24
0,2017-08-03 00:00:00,24,18,-6
0,2017-08-03 02:00:00,6,8,2
0,2017-08-03 04:00:00,10,8,-2
0,2017-08-03 06:00:00,177,179,2
0,2017-08-03 08:00:00,427,418,-9
0,2017-08-03 10:00:00,104,103,-1
0,2017-08-03 12:00:00,121,110,-11
0,2017-08-03 14:00:00,115,103,-12
0,2017-08-03 16:00:00,298,275,-23
0,2017-08-03 18:00:00,349,383,34
0,2017-08-03 20:00:00,110,160,50
0,2017-08-03 22:00:00,87,74,-13
0,2017-08-04 00:00:00,49,31,-18
0,2017-08-04 02:00:00,10,7,-3
0,2017-08-04 04:00:00,9,10,1
0,2017-08-04 06:00:00,161,137,-24
0,2017-08-04 08:00:00,392,405,13
0,2017-08-04 10:00:00,121,125,4
0,2017-08-04 12:00:00,135,129,-6
0,2017-08-04 14:00:00,154,140,-14
0,2017-08-04 16:00:00,298,277,-21
0,2017-08-04 18:00:00,260,304,44
0,2017-08-04 20:00:00,98,152,54
0,2017-08-04 22:00:00,91,96,5
0,2017-08-05 00:00:00,80,44,-36
0,2017-08-05 02:00:00,76,29,-47
0,2017-08-05 04:00:00,8,9,1
0,2017-08-05 06:00:00,18,16,-2
0,2017-08-05 08:00:00,86,47,-39
0,2017-08-05 10:00:00,154,156,2
0,2017-08-05 12:00:00,130,125,-5
0,2017-08-05 14:00:00,191,176,-15
0,2017-08-05 16:00:00,191,158,-33
0,2017-08-05 18:00:00,186,186,0
0,2017-08-05 20:00:00,75,152,77
0,2017-08-05 22:00:00,83,102,19
0,2017-08-06 00:00:00,80,55,-25
0,2017-08-06 02:00:00,54,17,-37
0,2017-08-06 04:00:00,19,13,-6
0,2017-08-06 06:00:00,22,20,-2
0,2017-08-06 08:00:00,62,72,10
0,2017-08-06 10:00:00,181,210,29
0,2017-08-06 12:00:00,272,277,5
0,2017-08-06 14:00:00,280,262,-18
0,2017-08-06 16:00:00,264,231,-33
0,2017-08-06 18:00:00,165,186,21
0,2017-08-06 20:00:00,114,119,5
0,2017-08-06 22:00:00,61,61,0
0,2017-08-07 00:00:00,21,17,-4
0,2017-08-07 02:00:00,8,5,-3
0,2017-08-07 04:00:00,9,12,3
0,2017-08-07 06:00:00,160,149,-11
0,2017-08-07 08:00:00,391,393,2
0,2017-08-07 10:00:00,105,109,4
0,2017-08-07 12:00:00,92,87,-5
0,2017-08-07 14:00:00,116,104,-12
0,2017-08-07 16:00:00,343,247,-96
0,2017-08-07 18:00:00,307,386,79
0,2017-08-07 20:00:00,99,98,-1
0,2017-08-07 22:00:00,52,65,13
0,2017-08-08 00:00:00,14,9,-5
0,2017-08-08 02:00:00,5,5,0
0,2017-08-08 04:00:00,12,9,-3
0,2017-08-08 06:00:00,167,169,2
0,2017-08-08 08:00:00,435,444,9
0,2017-08-08 10:00:00,115,107,-8
0,2017-08-08 12:00:00,110,100,-10
0,2017-08-08 14:00:00,124,117,-7
0,2017-08-08 16:00:00,354,271,-83
0,2017-08-08 18:00:00,333,349,16
0,2017-08-08 20:00:00,116,122,6
0,2017-08-08 22:00:00,72,70,-2
0,2017-08-09 00:00:00,24,23,-1
0,2017-08-09 02:00:00,9,5,-4
0,2017-08-09 04:00:00,7,4,-3
0,2017-08-09 06:00:00,150,167,17
0,2017-08-09 08:00:00,218,220,2
0,2017-08-09 10:00:00,32,33,1
0,2017-08-09 12:00:00,37,24,-13
0,2017-08-09 14:00:00,25,30,5
0,2017-08-09 16:00:00,81,54,-27
0,2017-08-09 18:00:00,77,107,30
0,2017-08-09 20:00:00,27,32,5
0,2017-08-09 22:00:00,37,18,-19
0,2017-08-10 00:00:00,23,18,-5
0,2017-08-10 02:00:00,6,3,-3
0,2017-08-10 04:00:00,6,6,0
0,2017-08-10 06:00:00,162,165,3
0,2017-08-10 08:00:00,443,419,-24
0,2017-08-10 10:00:00,127,112,-15
0,2017-08-10 12:00:00,118,141,23
0,2017-08-10 14:00:00,149,113,-36
0,2017-08-10 16:00:00,311,246,-65
0,2017-08-10 18:00:00,364,393,29
0,2017-08-10 20:00:00,155,157,2
0,2017-08-10 22:00:00,72,93,21
0,2017-08-11 00:00:00,35,15,-20
0,2017-08-11 02:00:00,18,8,-10
0,2017-08-11 04:00:00,9,7,-2
0,2017-08-11 06:00:00,151,149,-2
0,2017-08-11 08:00:00,423,393,-30
0,2017-08-11 10:00:00,148,143,-5
0,2017-08-11 12:00:00,149,134,-15
0,2017-08-11 14:00:00,169,147,-22
0,2017-08-11 16:00:00,341,263,-78
0,2017-08-11 18:00:00,256,294,38
0,2017-08-11 20:00:00,95,128,33
0,2017-08-11 22:00:00,81,93,12
0,2017-08-12 00:00:00,61,37,-24
0,2017-08-12 02:00:00,49,21,-28
0,2017-08-12 04:00:00,15,7,-8
0,2017-08-12 06:00:00,20,15,-5
0,2017-08-12 08:00:00,82,63,-19
0,2017-08-12 10:00:00,154,153,-1
0,2017-08-12 12:00:00,237,227,-10
0,2017-08-12 14:00:00,223,223,0
0,2017-08-12 16:00:00,197,216,19
0,2017-08-12 18:00:00,176,179,3
0,2017-08-12 20:00:00,108,119,11
0,2017-08-12 22:00:00,79,76,-3
0,2017-08-13 00:00:00,64,55,-9
0,2017-08-13 02:00:00,60,29,-31
0,2017-08-13 04:00:00,16,15,-1
0,2017-08-13 06:00:00,19,11,-8
0,2017-08-13 08:00:00,60,78,18
0,2017-08-13 10:00:00,169,195,26
0,2017-08-13 12:00:00,307,271,-36
0,2017-08-13 14:00:00,293,276,-17
0,2017-08-13 16:00:00,242,234,-8
0,2017-08-13 18:00:00,164,209,45
0,2017-08-13 20:00:00,107,126,19
0,2017-08-13 22:00:00,67,53,-14
0,2017-08-14 00:00:00,25,19,-6
0,2017-08-14 02:00:00,4,2,-2
0,2017-08-14 04:00:00,8,2,-6
0,2017-08-14 06:00:00,144,147,3
0,2017-08-14 08:00:00,438,407,-31
0,2017-08-14 10:00:00,105,116,11
0,2017-08-14 12:00:00,159,115,-44
0,2017-08-14 14:00:00,124,90,-34
0,2017-08-14 16:00:00,321,245,-76
0,2017-08-14 18:00:00,318,358,40
0,2017-08-14 20:00:00,121,139,18
0,2017-08-14 22:00:00,51,46,-5
0,2017-08-15 00:00:00,26,10,-16
0,2017-08-15 02:00:00,9,3,-6
0,2017-08-15 04:00:00,12,8,-4
0,2017-08-15 06:00:00,190,166,-24
0,2017-08-15 08:00:00,444,434,-10
0,2017-08-15 10:00:00,113,102,-11
