Station ID,Time,Out,In,Delta
302,2017-08-01 00:00:00,0,0,0
302,2017-08-01 06:00:00,8,2,-6
302,2017-08-01 12:00:00,1,9,8
302,2017-08-01 18:00:00,3,3,0
302,2017-08-02 00:00:00,0,0,0
302,2017-08-02 06:00:00,6,3,-3
302,2017-08-02 12:00:00,2,1,-1
302,2017-08-02 18:00:00,3,3,0
302,2017-08-03 00:00:00,0,1,1
302,2017-08-03 06:00:00,8,4,-4
302,2017-08-03 12:00:00,3,5,2
302,2017-08-03 18:00:00,7,8,1
302,2017-08-04 00:00:00,0,0,0
302,2017-08-04 06:00:00,7,2,-5
302,2017-08-04 12:00:00,4,5,1
302,2017-08-04 18:00:00,7,9,2
302,2017-08-05 00:00:00,0,1,1
302,2017-08-05 06:00:00,6,9,3
302,2017-08-05 12:00:00,3,2,-1
302,2017-08-05 18:00:00,8,1,-7
302,2017-08-06 00:00:00,0,1,1
302,2017-08-06 06:00:00,7,9,2
302,2017-08-06 12:00:00,6,13,7
302,2017-08-06 18:00:00,6,1,-5
302,2017-08-07 00:00:00,0,0,0
302,2017-08-07 06:00:00,2,0,-2
302,2017-08-07 12:00:00,7,6,-1
302,2017-08-07 18:00:00,1,5,4
302,2017-08-08 00:00:00,0,0,0
302,2017-08-08 06:00:00,3,0,-3
302,2017-08-08 12:00:00,1,4,3
302,2017-08-08 18:00:00,3,6,3
302,2017-08-09 00:00:00,0,1,1
302,2017-08-09 06:00:00,3,0,-3
302,2017-08-09 12:00:00,1,0,-1
302,2017-08-09 18:00:00,0,2,2
302,2017-08-10 00:00:00,0,0,0
302,2017-08-10 06:00:00,5,3,-2
302,2017-08-10 12:00:00,8,5,-3
302,2017-08-10 18:00:00,4,11,7
302,2017-08-11 00:00:00,0,0,0
302,2017-08-11 06:00:00,5,4,-1
302,2017-08-11 12:00:00,3,7,4
302,2017-08-11 18:00:00,4,2,-2
302,2017-08-12 00:00:00,0,2,2
302,2017-08-12 06:00:00,4,4,0
302,2017-08-12 12:00:00,10,8,-2
302,2017-08-12 18:00:00,11,11,0
302,2017-08-13 00:00:00,0,2,2
302,2017-08-13 06:00:00,4,5,1
302,2017-08-13 12:00:00,24,21,-3
