Station ID,Time,In,Out
1,2017-09-10 00:00:00,0,0
1,2017-09-10 02:00:00,0,0
1,2017-09-10 04:00:00,0,0
1,2017-09-10 06:00:00,1,3
1,2017-09-10 08:00:00,2,6
1,2017-09-10 10:00:00,1,2
1,2017-09-10 12:00:00,1,2
1,2017-09-10 14:00:00,1,1
1,2017-09-10 16:00:00,3,2
1,2017-09-10 18:00:00,3,3
1,2017-09-10 20:00:00,2,1
1,2017-09-10 22:00:00,1,0
1,2017-09-11 00:00:00,0,0
1,2017-09-11 02:00:00,0,0
1,2017-09-11 04:00:00,0,0
1,2017-09-11 06:00:00,1,3
1,2017-09-11 08:00:00,2,6
1,2017-09-11 10:00:00,1,2
1,2017-09-11 12:00:00,1,2
1,2017-09-11 14:00:00,1,1
1,2017-09-11 16:00:00,3,2
1,2017-09-11 18:00:00,3,3
1,2017-09-11 20:00:00,2,1
1,2017-09-11 22:00:00,1,0
1,2017-09-12 00:00:00,1,0
1,2017-09-12 02:00:00,0,0
1,2017-09-12 04:00:00,0,0
1,2017-09-12 06:00:00,1,3
1,2017-09-12 08:00:00,2,8
1,2017-09-12 10:00:00,1,2
1,2017-09-12 12:00:00,1,2
1,2017-09-12 14:00:00,1,1
1,2017-09-12 16:00:00,3,2
1,2017-09-12 18:00:00,3,3
1,2017-09-12 20:00:00,2,1
1,2017-09-12 22:00:00,1,0
1,2017-09-13 00:00:00,1,0
1,2017-09-13 02:00:00,0,0
1,2017-09-13 04:00:00,0,0
1,2017-09-13 06:00:00,1,3
1,2017-09-13 08:00:00,3,8
1,2017-09-13 10:00:00,1,2
1,2017-09-13 12:00:00,1,2
1,2017-09-13 14:00:00,1,1
1,2017-09-13 16:00:00,3,2
1,2017-09-13 18:00:00,4,3
1,2017-09-13 20:00:00,1,1
1,2017-09-13 22:00:00,1,0
1,2017-09-14 00:00:00,1,0
1,2017-09-14 02:00:00,0,0
1,2017-09-14 04:00:00,0,0
1,2017-09-14 06:00:00,1,2
1,2017-09-14 08:00:00,3,8
1,2017-09-14 10:00:00,1,2
1,2017-09-14 12:00:00,1,2
1,2017-09-14 14:00:00,1,1
1,2017-09-14 16:00:00,4,2
1,2017-09-14 18:00:00,4,3
1,2017-09-14 20:00:00,1,1
1,2017-09-14 22:00:00,1,0
1,2017-09-15 00:00:00,1,0
1,2017-09-15 02:00:00,0,0
1,2017-09-15 04:00:00,0,0
1,2017-09-15 06:00:00,1,3
1,2017-09-15 08:00:00,3,8
1,2017-09-15 10:00:00,1,2
1,2017-09-15 12:00:00,1,2
