Time,Station ID,In,Out
2017-09-10 00:00:00,1,0,1
2017-09-10 02:00:00,1,0,1
2017-09-10 04:00:00,1,0,0
2017-09-10 06:00:00,1,0,0
2017-09-10 08:00:00,1,1,1
2017-09-10 10:00:00,1,1,2
2017-09-10 12:00:00,1,2,3
2017-09-10 14:00:00,1,2,3
2017-09-10 16:00:00,1,2,2
2017-09-10 18:00:00,1,2,2
2017-09-10 20:00:00,1,0,1
2017-09-10 22:00:00,1,0,1
2017-09-11 00:00:00,1,1,1
2017-09-11 02:00:00,1,0,0
2017-09-11 04:00:00,1,0,0
2017-09-11 06:00:00,1,0,3
2017-09-11 08:00:00,1,2,6
2017-09-11 10:00:00,1,1,2
2017-09-11 12:00:00,1,1,2
2017-09-11 14:00:00,1,0,1
2017-09-11 16:00:00,1,3,3
2017-09-11 18:00:00,1,2,3
2017-09-11 20:00:00,1,2,2
2017-09-11 22:00:00,1,0,0
2017-09-12 00:00:00,1,0,0
2017-09-12 02:00:00,1,0,0
2017-09-12 04:00:00,1,0,0
2017-09-12 06:00:00,1,0,5
2017-09-12 08:00:00,1,3,8
2017-09-12 10:00:00,1,1,2
2017-09-12 12:00:00,1,2,2
2017-09-12 14:00:00,1,0,1
2017-09-12 16:00:00,1,3,4
2017-09-12 18:00:00,1,3,4
2017-09-12 20:00:00,1,2,1
2017-09-12 22:00:00,1,1,0
2017-09-13 00:00:00,1,0,0
2017-09-13 02:00:00,1,0,0
2017-09-13 04:00:00,1,0,0
2017-09-13 06:00:00,1,0,5
2017-09-13 08:00:00,1,3,9
2017-09-13 10:00:00,1,1,2
2017-09-13 12:00:00,1,1,2
2017-09-13 14:00:00,1,1,1
2017-09-13 16:00:00,1,3,3
2017-09-13 18:00:00,1,3,5
2017-09-13 20:00:00,1,2,2
2017-09-13 22:00:00,1,1,1
2017-09-14 00:00:00,1,0,0
2017-09-14 02:00:00,1,0,0
2017-09-14 04:00:00,1,0,0
2017-09-14 06:00:00,1,1,5
2017-09-14 08:00:00,1,3,9
2017-09-14 10:00:00,1,1,2
2017-09-14 12:00:00,1,1,2
2017-09-14 14:00:00,1,1,1
2017-09-14 16:00:00,1,4,4
2017-09-14 18:00:00,1,3,5
2017-09-14 20:00:00,1,2,1
2017-09-14 22:00:00,1,1,1
2017-09-15 00:00:00,1,0,1
2017-09-15 02:00:00,1,0,0
2017-09-15 04:00:00,1,0,0
2017-09-15 06:00:00,1,1,3
2017-09-15 08:00:00,1,3,8
2017-09-15 10:00:00,1,1,2
2017-09-15 12:00:00,1,1,2
2017-09-15 14:00:00,1,1,2
2017-09-15 16:00:00,1,4,3
2017-09-15 18:00:00,1,3,5
2017-09-15 20:00:00,1,2,1
2017-09-15 22:00:00,1,0,1
2017-09-16 00:00:00,1,0,1
2017-09-16 02:00:00,1,0,1
2017-09-16 04:00:00,1,0,0
2017-09-16 06:00:00,1,0,1
2017-09-16 08:00:00,1,1,2
2017-09-16 10:00:00,1,2,2
2017-09-16 12:00:00,1,2,3
2017-09-16 14:00:00,1,2,3
2017-09-16 16:00:00,1,2,3
2017-09-16 18:00:00,1,2,2
2017-09-16 20:00:00,1,2,1
2017-09-16 22:00:00,1,0,1
2017-09-17 00:00:00,1,0,1
2017-09-17 02:00:00,1,0,1
2017-09-17 04:00:00,1,0,0
2017-09-17 06:00:00,1,0,0
2017-09-17 08:00:00,1,1,1
2017-09-17 10:00:00,1,1,2
2017-09-17 12:00:00,1,2,3
2017-09-17 14:00:00,1,2,3
2017-09-17 16:00:00,1,2,3
2017-09-17 18:00:00,1,2,2
2017-09-17 20:00:00,1,2,2
2017-09-17 22:00:00,1,0,1
2017-09-18 00:00:00,1,0,1
2017-09-18 02:00:00,1,0,0
2017-09-18 04:00:00,1,0,0
2017-09-18 06:00:00,1,0,3
2017-09-18 08:00:00,1,2,7
2017-09-18 10:00:00,1,1,2
2017-09-18 12:00:00,1,1,2
2017-09-18 14:00:00,1,0,1
2017-09-18 16:00:00,1,3,3
2017-09-18 18:00:00,1,3,4
2017-09-18 20:00:00,1,2,1
2017-09-18 22:00:00,1,1,0
2017-09-19 00:00:00,1,0,0
2017-09-19 02:00:00,1,0,0
2017-09-19 04:00:00,1,0,0
2017-09-19 06:00:00,1,0,5
2017-09-19 08:00:00,1,3,8
2017-09-19 10:00:00,1,1,2
2017-09-19 12:00:00,1,1,2
2017-09-19 14:00:00,1,0,1
2017-09-19 16:00:00,1,3,4
2017-09-19 18:00:00,1,3,5
2017-09-19 20:00:00,1,2,1
2017-09-19 22:00:00,1,1,0
2017-09-10 00:00:00,2,1,0
2017-09-10 02:00:00,2,2,1
2017-09-10 04:00:00,2,1,1
2017-09-10 06:00:00,2,1,1
2017-09-10 08:00:00,2,2,2
2017-09-10 10:00:00,2,6,5
2017-09-10 12:00:00,2,10,9
2017-09-10 14:00:00,2,10,9
2017-09-10 16:00:00,2,9,8
2017-09-10 18:00:00,2,3,3
2017-09-10 20:00:00,2,1,1
2017-09-10 22:00:00,2,1,1
2017-09-11 00:00:00,2,2,1
2017-09-11 02:00:00,2,0,0
2017-09-11 04:00:00,2,0,0
2017-09-11 06:00:00,2,1,2
2017-09-11 08:00:00,2,5,5
2017-09-11 10:00:00,2,4,4
2017-09-11 12:00:00,2,4,3
2017-09-11 14:00:00,2,4,2
2017-09-11 16:00:00,2,6,6
2017-09-11 18:00:00,2,4,5
2017-09-11 20:00:00,2,2,3
2017-09-11 22:00:00,2,0,0
2017-09-12 00:00:00,2,0,0
2017-09-12 02:00:00,2,0,0
2017-09-12 04:00:00,2,0,0
2017-09-12 06:00:00,2,4,3
2017-09-12 08:00:00,2,6,6
2017-09-12 10:00:00,2,4,5
2017-09-12 12:00:00,2,5,4
2017-09-12 14:00:00,2,4,3
2017-09-12 16:00:00,2,7,7
2017-09-12 18:00:00,2,7,7
2017-09-12 20:00:00,2,2,3
2017-09-12 22:00:00,2,0,1
2017-09-13 00:00:00,2,0,0
2017-09-13 02:00:00,2,0,0
2017-09-13 04:00:00,2,0,0
2017-09-13 06:00:00,2,3,4
2017-09-13 08:00:00,2,6,5
2017-09-13 10:00:00,2,4,4
2017-09-13 12:00:00,2,5,4
2017-09-13 14:00:00,2,4,3
2017-09-13 16:00:00,2,6,6
2017-09-13 18:00:00,2,7,7
2017-09-13 20:00:00,2,3,3
2017-09-13 22:00:00,2,1,1
2017-09-14 00:00:00,2,0,0
2017-09-14 02:00:00,2,0,0
2017-09-14 04:00:00,2,0,0
2017-09-14 06:00:00,2,3,3
2017-09-14 08:00:00,2,7,5
2017-09-14 10:00:00,2,4,5
2017-09-14 12:00:00,2,5,4
2017-09-14 14:00:00,2,5,4
2017-09-14 16:00:00,2,7,7
2017-09-14 18:00:00,2,8,8
2017-09-14 20:00:00,2,2,3
2017-09-14 22:00:00,2,1,1
2017-09-15 00:00:00,2,1,0
2017-09-15 02:00:00,2,1,0
2017-09-15 04:00:00,2,0,0
2017-09-15 06:00:00,2,3,2
2017-09-15 08:00:00,2,7,5
2017-09-15 10:00:00,2,4,5
2017-09-15 12:00:00,2,5,4
2017-09-15 14:00:00,2,7,5
2017-09-15 16:00:00,2,8,8
2017-09-15 18:00:00,2,8,7
2017-09-15 20:00:00,2,2,2
2017-09-15 22:00:00,2,1,1
2017-09-16 00:00:00,2,1,0
2017-09-16 02:00:00,2,1,0
2017-09-16 04:00:00,2,0,0
2017-09-16 06:00:00,2,1,1
2017-09-16 08:00:00,2,3,2
2017-09-16 10:00:00,2,7,6
2017-09-16 12:00:00,2,9,8
2017-09-16 14:00:00,2,10,8
2017-09-16 16:00:00,2,10,9
2017-09-16 18:00:00,2,7,7
2017-09-16 20:00:00,2,2,2
2017-09-16 22:00:00,2,1,1
2017-09-17 00:00:00,2,1,0
2017-09-17 02:00:00,2,2,1
2017-09-17 04:00:00,2,0,1
2017-09-17 06:00:00,2,1,1
2017-09-17 08:00:00,2,2,2
2017-09-17 10:00:00,2,6,5
2017-09-17 12:00:00,2,9,8
2017-09-17 14:00:00,2,10,9
2017-09-17 16:00:00,2,11,10
2017-09-17 18:00:00,2,7,7
2017-09-17 20:00:00,2,2,2
2017-09-17 22:00:00,2,1,1
2017-09-18 00:00:00,2,0,0
2017-09-18 02:00:00,2,0,0
2017-09-18 04:00:00,2,0,0
2017-09-18 06:00:00,2,1,2
2017-09-18 08:00:00,2,5,5
