Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft)
1,-13,-13,-14,-14
2,-25,-25,-24,-24
3,-22,-22,-21,-21
4,-16,-16,-16,-16
5,-17,-17,-19,-19
6,-12,-12,-10,-10
7,-11,-11,-11,-11
8,-12,-12,-12,-12
9,-12,-12,-14,-14
10,-12,-12,-11,-11
11,-16,-16,-17,-17
12,-33,-33,-30,-30
13,-14,-14,-14,-14
14,-31,-31,-28,-28
15,-17,-17,-17,-17
16,-15,-15,-15,-15
17,-18,-18,-19,-19
18,-18,-18,-18,-18
19,-21,-21,-21,-21
20,-19,-19,-19,-19
21,-10,-10,-13,-13
22,-13,-13,-11,-11
23,-11,-11,-11,-11
24,-23,-23,-23,-23
25,-22,-22,-21,-21
26,-14,-14,-15,-15
27,-23,-23,-24,-24
28,-12,-12,-14,-14
29,-15,-15,-16,-16
30,-15,-15,-15,-15
31,-24,-24,-27,-27
32,-29,-29,-30,-30
33,-10,-10,-12,-12
34,-11,-11,-11,-11
36,-19,-19,-17,-17
37,-9,-9,-16,-16
38,-11,-11,-11,-11
39,-23,-23,-16,-16
40,-10,-10,-6,-6
42,-19,-19,-18,-18
43,-12,-12,-10,-10
44,-14,-14,-15,-15
45,-18,-18,-18,-18
46,-11,-11,-12,-12
47,-13,-13,-11,-11
48,-17,-17,-19,-19
49,-11,-11,-8,-8
50,-18,-18,-18,-18
51,-20,-20,-21,-21
52,-12,-12,-12,-12
53,-11,-11,-12,-12
54,-18,-18,-18,-18
55,-22,-22,-19,-19
56,-10,-10,-12,-12
57,-22,-22,-22,-22
58,-12,-12,-11,-11
60,-12,-12,-12,-12
61,-22,-22,-23,-23
62,-16,-16,-19,-19
63,-18,-18,-21,-21
64,-16,-16,-15,-15
65,-10,-10,-11,-11
66,-28,-28,-28,-28
67,-19,-19,-19,-19
68,-17,-17,-18,-18
70,-16,-16,-16,-16
71,-23,-23,-24,-24
72,-10,-10,-11,-11
73,-24,-24,-23,-23
74,-9,-9,-10,-10
75,-12,-12,-13,-13
76,-14,-14,-14,-14
77,-17,-17,-22,-22
78,-10,-10,-11,-11
80,-31,-31,-33,-33
81,-12,-12,-12,-12
82,-10,-10,-10,-10
84,-17,-17,-17,-17
85,-27,-27,-27,-27
86,-16,-16,-14,-14
87,-10,-10,-9,-9
88,-16,-16,-20,-20
89,-11,-11,-13,-13
90,-18,-18,-19,-19
91,-14,-14,-13,-13
92,-28,-28,-30,-30
93,-24,-24,-25,-25
94,-19,-19,-21,-21
95,-9,-9,-8,-8
96,-18,-18,-19,-19
97,-11,-11,-14,-14
98,-35,-35,-34,-34
99,-10,-10,-10,-10
100,-15,-15,-14,-14
101,-14,-14,-15,-15
102,-11,-11,-11,-11
103,-12,-12,-12,-12
104,-22,-22,-22,-22
105,-17,-17,-20,-20
106,-14,-14,-14,-14
107,-13,-13,-16,-16
108,-19,-19,-20,-20
109,-37,-37,-37,-37
110,-11,-11,-11,-11
111,-16,-16,-21,-21
112,-29,-29,-29,-29
113,-13,-13,-12,-12
114,-15,-15,-16,-16
115,-22,-22,-23,-23
116,-14,-14,-14,-14
117,-17,-17,-17,-17
118,-9,-9,-10,-10
119,-12,-12,-10,-10
120,-11,-11,-11,-11
121,-15,-15,-11,-11
122,-15,-15,-10,-10
123,-12,-12,-13,-13
124,-14,-14,-13,-13
125,-13,-13,-13,-13
126,-36,-36,-36,-36
127,-11,-11,-11,-11
128,-14,-14,-15,-15
129,-12,-12,-7,-7
130,-14,-14,-9,-9
131,-11,-11,-12,-12
132,-21,-21,-20,-20
133,-12,-12,-12,-12
134,-13,-13,-13,-13
135,-14,-14,-15,-15
136,-22,-22,-22,-22
138,-13,-13,-13,-13
139,-12,-12,-13,-13
140,-23,-23,-24,-24
141,-19,-19,-14,-14
142,-15,-15,-16,-16
143,-16,-16,-16,-16
144,-32,-32,-36,-36
145,-16,-16,-16,-16
146,-23,-23,-24,-24
148,-11,-11,-11,-11
149,-12,-12,-11,-11
150,-19,-19,-13,-13
151,-17,-17,-17,-17
152,-13,-13,-14,-14
153,-17,-17,-17,-17
154,-23,-23,-25,-25
155,-13,-13,-11,-11
156,-23,-23,-22,-22
157,-24,-24,-26,-26
158,-12,-12,-13,-13
159,-27,-27,-24,-24
160,-13,-13,-14,-14
161,-11,-11,-11,-11
162,-13,-13,-12,-12
163,-15,-15,-15,-15
164,-11,-11,-11,-11
165,-10,-10,-11,-11
166,-18,-18,-18,-18
167,-13,-13,-13,-13
168,-13,-13,-12,-12
169,-11,-11,-12,-12
170,-20,-20,-21,-21
171,-8,-8,-9,-9
172,-12,-12,-13,-13
173,-9,-9,-8,-8
174,-25,-25,-25,-25
175,-18,-18,-17,-17
176,-16,-16,-17,-17
177,-17,-17,-18,-18
178,-12,-12,-13,-13
180,-11,-11,-9,-9
181,-14,-14,-13,-13
182,-12,-12,-14,-14
183,-16,-16,-17,-17
184,-23,-23,-23,-23
185,-9,-9,-11,-11
186,-10,-10,-10,-10
191,-18,-18,-18,-18
192,-10,-10,-8,-8
193,-41,-41,-42,-42
199,-15,-15,-14,-14
200,-8,-8,-11,-11
202,-23,-23,-22,-22
203,-9,-9,-9,-9
204,-13,-13,-12,-12
206,-24,-24,-28,-28
207,-12,-12,-12,-12
208,-14,-14,-16,-16
209,-20,-20,-21,-21
210,-14,-14,-12,-12
211,-23,-23,-22,-22
212,-11,-11,-10,-10
213,-24,-24,-21,-21
214,-22,-22,-22,-22
215,-37,-37,-37,-37
216,-19,-19,-21,-21
217,-9,-9,-10,-10
218,-14,-14,-13,-13
219,-19,-19,-21,-21
220,-17,-17,-19,-19
221,-11,-11,-14,-14
222,-29,-29,-38,-38
223,-16,-16,-18,-18
224,-10,-10,-11,-11
225,-20,-20,-22,-22
226,-15,-15,-15,-15
227,-15,-15,-17,-17
228,-26,-26,-22,-22
229,-14,-14,-19,-19
230,-21,-21,-22,-22
231,-20,-20,-20,-20
232,-11,-11,-11,-11
233,-13,-13,-11,-11
234,-15,-15,-16,-16
235,-25,-25,-26,-26
236,-18,-18,-20,-20
237,-21,-21,-20,-20
238,-22,-22,-25,-25
239,-17,-17,-18,-18
240,-9,-9,-9,-9
242,-15,-15,-15,-15
243,-16,-16,-22,-22
244,-11,-11,-12,-12
245,-20,-20,-21,-21
246,-27,-27,-26,-26
247,-35,-35,-31,-31
248,-17,-17,-21,-21
249,-29,-29,-29,-29
250,-6,-6,-6,-6
251,-22,-22,-23,-23
252,-17,-17,-22,-22
253,-21,-21,-23,-23
254,-10,-10,-11,-11
255,-15,-15,-16,-16
256,-10,-10,-10,-10
257,-10,-10,-12,-12
258,-16,-16,-16,-16
260,-11,-11,-13,-13
261,-9,-9,-12,-12
262,-24,-24,-27,-27
263,-14,-14,-14,-14
264,-12,-12,-14,-14
265,-10,-10,-13,-13
266,-27,-27,-28,-28
267,-15,-15,-15,-15
268,-20,-20,-21,-21
269,-32,-32,-34,-34
270,-18,-18,-20,-20
271,-22,-22,-23,-23
272,-14,-14,-11,-11
273,-25,-25,-24,-24
274,-24,-24,-24,-24
275,-13,-13,-13,-13
276,-16,-16,-14,-14
277,-10,-10,-8,-8
278,-10,-10,-15,-15
279,-17,-17,-17,-17
280,-6,-6,-8,-8
281,-12,-12,-12,-12
282,-28,-28,-28,-28
283,-11,-11,-10,-10
284,-13,-13,-14,-14
286,-24,-24,-26,-26
287,-16,-16,-16,-16
288,-22,-22,-23,-23
289,-10,-10,-9,-9
290,-10,-10,-4,-4
291,-22,-22,-20,-20
292,-10,-10,-11,-11
293,-17,-17,-17,-17
294,-11,-11,-12,-12
295,-18,-18,-19,-19
296,-11,-11,-12,-12
297,-11,-11,-11,-11
298,-14,-14,-17,-17
299,-13,-13,-13,-13
301,-15,-15,-15,-15
302,-19,-19,-19,-19
303,-18,-18,-18,-18
305,-10,-10,-9,-9
306,-11,-11,-11,-11
307,-16,-16,-16,-16
308,-13,-13,-16,-16
309,-26,-26,-23,-23
310,-13,-13,-13,-13
312,-14,-14,-15,-15
313,-26,-26,-26,-26
314,-25,-25,-25,-25
315,-11,-11,-11,-11
317,-22,-22,-20,-20
318,-12,-12,-12,-12
319,-13,-13,-11,-11
320,-18,-18,-17,-17
321,-15,-15,-17,-17
322,-18,-18,-19,-19
323,-16,-16,-15,-15
324,-10,-10,-5,-5
325,-11,-11,-12,-12
326,-17,-17,-18,-18
327,-14,-14,-14,-14
328,-15,-15,-13,-13
329,-16,-16,-19,-19
330,-23,-23,-23,-23
331,-21,-21,-20,-20
332,-13,-13,-13,-13
333,-24,-24,-25,-25
334,-6,-6,-5,-5
335,-21,-21,-23,-23
336,-11,-11,-11,-11
337,-10,-10,-10,-10
338,-14,-14,-14,-14
339,-17,-17,-15,-15
340,-10,-10,-10,-10
341,-10,-10,-12,-12
343,-25,-25,-25,-25
344,-11,-11,-11,-11
345,-21,-21,-18,-18
347,-10,-10,-11,-11
348,-11,-11,-11,-11
349,-12,-12,-13,-13
350,-14,-14,-14,-14
351,-19,-19,-21,-21
352,-13,-13,-12,-12
353,-11,-11,-14,-14
354,-23,-23,-24,-24
355,-14,-14,-12,-12
356,-8,-8,-10,-10
357,-20,-20,-21,-21
358,-14,-14,-14,-14
359,-12,-12,-12,-12
360,-18,-18,-18,-18
361,-38,-38,-38,-38
362,-38,-38,-39,-39
363,-16,-16,-16,-16
364,-28,-28,-28,-28
365,-31,-31,-31,-31
366,-17,-17,-18,-18
367,-10,-10,-12,-12
368,-15,-15,-16,-16
370,-14,-14,-14,-14
371,-15,-15,-15,-15
372,-16,-16,-16,-16
373,-12,-12,-11,-11
374,-24,-24,-23,-23
375,-12,-12,-12,-12
