Station ID,Cycle0 (Bef),Cycle0 (Aft)
1,-13,-13
2,-24,-24
3,-22,-22
4,-16,-16
5,-18,-18
6,-12,-12
7,-11,-11
8,-12,-12
9,-13,-13
10,-12,-12
11,-16,-16
12,-34,-34
13,-14,-14
14,-31,-31
15,-17,-17
16,-14,-14
17,-18,-18
18,-17,-17
19,-21,-21
20,-19,-19
21,-11,-11
22,-12,-12
23,-11,-11
24,-24,-24
25,-21,-21
26,-13,-13
27,-23,-23
28,-12,-12
29,-15,-15
30,-15,-15
31,-24,-24
32,-29,-29
33,-12,-12
34,-11,-11
36,-18,-18
37,-10,-10
38,-11,-11
39,-24,-24
40,-9,-9
42,-19,-19
43,-11,-11
44,-14,-14
45,-17,-17
46,-11,-11
47,-13,-13
48,-16,-16
49,-11,-11
50,-17,-17
51,-20,-20
52,-11,-11
53,-12,-12
54,-18,-18
55,-23,-23
56,-10,-10
57,-22,-22
58,-13,-13
60,-12,-12
61,-23,-23
62,-16,-16
63,-18,-18
64,-17,-17
65,-11,-11
66,-26,-26
67,-18,-18
68,-17,-17
70,-16,-16
71,-22,-22
72,-11,-11
73,-21,-21
74,-9,-9
75,-13,-13
76,-13,-13
77,-17,-17
78,-10,-10
80,-30,-30
81,-13,-13
82,-10,-10
84,-17,-17
85,-28,-28
86,-16,-16
87,-10,-10
88,-17,-17
89,-12,-12
90,-18,-18
91,-14,-14
92,-28,-28
93,-25,-25
94,-19,-19
95,-10,-10
96,-18,-18
97,-11,-11
98,-35,-35
99,-10,-10
100,-15,-15
101,-15,-15
102,-11,-11
103,-12,-12
104,-21,-21
105,-18,-18
106,-14,-14
107,-14,-14
108,-20,-20
109,-37,-37
110,-11,-11
111,-17,-17
112,-29,-29
113,-12,-12
114,-15,-15
115,-21,-21
116,-13,-13
117,-17,-17
118,-8,-8
119,-12,-12
120,-11,-11
121,-15,-15
122,-15,-15
123,-11,-11
124,-13,-13
125,-13,-13
126,-35,-35
127,-11,-11
128,-15,-15
129,-11,-11
130,-15,-15
131,-11,-11
132,-21,-21
133,-12,-12
134,-13,-13
135,-14,-14
136,-22,-22
138,-12,-12
139,-12,-12
140,-23,-23
141,-19,-19
142,-15,-15
143,-15,-15
144,-32,-32
145,-16,-16
146,-24,-24
148,-11,-11
149,-11,-11
150,-18,-18
151,-17,-17
152,-13,-13
153,-17,-17
154,-24,-24
155,-13,-13
156,-22,-22
157,-24,-24
158,-12,-12
159,-25,-25
160,-13,-13
161,-11,-11
162,-13,-13
163,-17,-17
164,-11,-11
165,-10,-10
166,-17,-17
167,-13,-13
168,-12,-12
169,-11,-11
170,-21,-21
171,-9,-9
172,-12,-12
173,-9,-9
174,-24,-24
175,-18,-18
176,-16,-16
177,-17,-17
178,-13,-13
180,-11,-11
181,-14,-14
182,-11,-11
183,-16,-16
184,-23,-23
185,-9,-9
186,-11,-11
191,-18,-18
192,-10,-10
193,-42,-42
199,-14,-14
200,-8,-8
202,-23,-23
203,-10,-10
204,-13,-13
206,-24,-24
207,-12,-12
208,-13,-13
209,-21,-21
210,-13,-13
211,-22,-22
212,-11,-11
213,-24,-24
214,-22,-22
215,-37,-37
216,-19,-19
217,-9,-9
218,-14,-14
219,-19,-19
220,-18,-18
221,-11,-11
222,-29,-29
223,-16,-16
