Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft),Cycle4 (Bef),Cycle4 (Aft),Cycle5 (Bef),Cycle5 (Aft),Cycle6 (Bef),Cycle6 (Aft),Cycle7 (Bef),Cycle7 (Aft),Cycle8 (Bef),Cycle8 (Aft),Cycle9 (Bef),Cycle9 (Aft),Cycle10 (Bef),Cycle10 (Aft),Cycle11 (Bef),Cycle11 (Aft)
1,-13,-13,-13,-13,-13,-13,-11,-11,-7,-7,-12,-12,-11,-11,-7,-2,0,-1,1,1,-6,-6,-7,-7
2,-25,-25,-25,-25,-25,-25,-23,-23,-21,-21,-26,-26,-24,-24,-24,-24,-19,-19,-17,-17,-22,-22,-26,-26
3,-22,-22,-22,-22,-22,-22,-19,-19,-18,-18,-49,-49,-52,-52,-53,-53,-32,-32,-24,-24,-28,-28,-29,-29
4,-15,-15,-15,-15,-15,-3,1,-11,3,2,2,2,2,1,1,1,-3,3,-2,-2,-19,-19,-23,-23
5,-17,-17,-18,-18,-18,-18,-15,-15,-18,-18,-37,-37,-35,-35,-36,-36,-26,-26,-10,-10,-21,-21,-24,-24
6,-12,-12,-12,-12,-12,-12,-10,-10,-11,-11,-23,-23,-22,-22,-18,-18,-7,-7,-7,-7,-11,-11,-13,-13
7,-11,-11,-11,-11,-11,-11,-6,-6,-3,-3,-4,-4,-4,-4,-3,-3,-3,-3,-4,-4,-8,-8,-9,-9
8,-12,-12,-12,-12,-12,-12,-12,-12,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-12,-12
9,-12,-12,-14,-14,-14,-14,-12,-12,-16,-16,-27,-27,-24,-24,-23,-23,-12,-12,-5,-5,-12,-12,-14,-14
10,-12,-12,-12,-12,-12,-12,-12,-12,-10,-10,-17,-17,-15,-15,-14,-14,-13,-13,-12,-12,-20,-20,-22,-22
11,-15,-15,-16,-16,-16,-16,-15,-5,-5,7,-3,2,4,2,0,-3,4,-6,-2,4,2,2,2,2
12,-33,-33,-34,-34,-34,-34,-34,-34,-30,-30,-77,-77,-76,-76,-74,-64,-46,-33,-13,-13,-24,-24,-27,-27
13,-14,-14,-14,-14,-14,-14,-12,-12,-10,-10,-27,-27,-25,-25,-30,-30,-22,-22,-12,-12,-18,-18,-20,-20
14,-33,-33,-30,-30,-28,-47,-1,-69,6,-138,23,-6,-3,-3,-4,2,-14,-6,-189,-189,-281,-281,-286,-286
15,-18,-18,-18,-18,-18,-18,-17,-17,-17,-17,-40,-40,-39,-39,-40,-40,-28,-28,-16,-16,-17,-17,-19,-19
16,-14,-14,-13,-13,-14,-14,-11,-8,1,4,5,0,4,0,0,-3,4,-1,-1,-1,-7,-7,-8,-8
17,-18,-18,-18,-18,-18,-18,-15,-15,-11,-11,-39,-39,-33,-33,-32,-32,-18,-12,-12,-12,-9,-9,-6,-6
18,-17,-17,-18,-18,-18,-18,-17,-17,-15,-15,-26,-26,-34,-34,-39,-39,-32,-32,-15,-15,-24,-24,-27,-27
19,-21,-21,-21,-21,-21,-21,-19,-10,3,6,3,3,-8,-4,-4,-6,2,0,1,3,2,1,2,2
20,-19,-19,-19,-19,-19,-19,-8,-10,-10,-1,-10,-1,-2,-1,-2,0,0,0,0,0,1,1,1,1
21,-11,-11,-11,-11,-11,-11,-10,-10,-7,-7,-2,-2,-4,-4,-1,0,1,1,-2,-2,-4,-4,-5,-5
22,-12,-12,-13,-13,-14,-14,-13,-13,-7,-7,-26,-24,-21,-21,-26,-18,-5,0,4,4,0,0,1,1
23,-11,-11,-7,-7,-7,-7,-6,-6,-3,-3,-18,-18,-13,-13,-14,-14,-6,-1,1,1,0,1,1,1
24,-23,-23,-23,-23,-23,-23,-22,-22,-20,-20,-28,-28,-35,-35,-43,-43,-31,-24,-18,-18,-16,-16,-16,-16
25,-22,-22,-22,-22,-21,-21,-5,-17,6,1,3,-1,1,0,-1,-4,0,0,-25,-25,-37,-37,-40,-40
26,-14,-14,-16,-16,-15,-15,-12,-5,-1,0,-1,0,2,0,2,-2,-1,-1,1,1,-3,-3,-1,-1
27,-22,-22,-23,-23,-23,-23,-22,-22,-28,-28,-62,-62,-63,-63,-59,-59,-37,-37,-19,-19,-20,-20,-11,-11
28,-12,-12,-13,-13,-13,-13,-10,-10,1,1,-7,-7,-5,-5,-2,-5,0,0,1,1,-12,-12,-11,-11
29,-15,-15,-15,-15,-15,-15,-10,-10,2,1,-2,0,0,1,2,0,2,2,0,0,-14,-14,-16,-16
30,-15,-15,-18,-18,-19,-19,-12,-8,0,0,-5,-5,-2,-2,1,-4,-2,-1,-6,-6,-9,-9,-11,-11
31,-24,-24,-25,-25,-28,-28,-21,-21,-8,-8,-2,-2,-2,-2,-2,-2,-2,-1,2,2,-11,-11,-20,-20
32,-29,-29,-30,-30,-30,-30,-25,-25,-22,-22,-64,-64,-64,-64,-70,-70,-38,-38,-32,-32,-31,-31,-33,-33
33,-11,-11,-11,-11,-11,-11,-9,-9,-4,-4,-11,-11,-12,-12,-10,-10,-3,-6,-2,-2,-12,-12,-10,-10
34,-11,-11,-11,-11,-11,-11,-8,-6,-2,1,-3,1,2,0,0,-3,0,5,1,1,1,1,-1,-1
36,-18,-18,-17,-17,-17,-17,-13,-10,-6,-6,-12,-12,-10,-10,-3,-3,6,-1,-2,-2,-8,-8,-5,-5
37,-10,-10,-10,-10,-10,-10,-7,-7,-3,-3,2,-1,-2,-2,-6,-6,-6,-2,-1,-1,0,0,-4,-4
38,-11,-11,-11,-11,-11,-11,-12,-12,-6,-6,-7,-7,-6,-6,-3,-3,-3,-3,-1,-1,-10,-10,-11,-11
39,-24,-24,-24,-24,-24,-24,-19,-19,-5,-5,-27,-27,-24,-24,-22,-22,-21,-19,-1,-1,-4,-4,-9,-9
40,-10,-10,-9,-9,-9,-9,-6,-6,-5,-5,-17,-17,-16,-16,-15,-15,-12,-12,-8,-8,-2,-2,-5,-5
42,-19,-19,-19,-19,-18,-18,-10,-15,1,1,-6,-3,1,2,1,-3,-4,-3,9,9,-2,-2,-8,-8
43,-11,-11,-12,-12,-12,-12,-10,-10,-6,-6,-9,-9,-14,-14,-13,-13,-4,-4,-4,-4,-13,-13,-13,-13
44,-14,-14,-14,-14,-14,-14,-14,-14,-16,-16,-34,-34,-34,-34,-34,-34,-36,-36,-37,-37,-26,-26,-26,-26
45,-18,-18,-18,-18,-17,-17,0,-19,7,-1,10,-1,1,1,-1,-1,1,1,-16,-16,-45,-45,-48,-48
46,-11,-11,-11,-11,-11,-11,1,-10,-3,-3,-7,-7,-3,-3,-7,-7,0,-1,-7,-7,-16,-16,-19,-19
47,-12,-12,-13,-13,-13,-13,-5,-6,4,2,-3,-3,-4,-4,-3,-3,-1,-1,-3,-3,-11,-11,-13,-13
48,-17,-17,-18,-18,-17,-17,-15,-15,-15,-15,-52,-52,-50,-50,-50,-50,-33,-33,-23,-23,-17,-17,-12,-12
49,-11,-11,-11,-11,-11,-11,-10,-10,-15,-15,-25,-25,-25,-25,-25,-25,-18,-18,-12,-12,-16,-16,-17,-17
50,-17,-17,-16,-16,-16,-16,-15,-15,-9,-9,-24,-24,-26,-26,-26,-22,-20,-18,-13,-13,-15,-15,-15,-15
51,-20,-20,-20,-20,-20,-20,-15,-15,-11,-11,-28,-28,-29,-29,-25,-25,-19,-17,-11,-11,-14,-14,-16,-16
52,-11,-11,-12,-12,-11,-11,-9,-9,-3,-3,-19,-19,-19,-19,-19,-19,-14,-11,-7,-7,-7,-7,-9,-9
53,-12,-12,-12,-12,-12,-12,-12,-12,-17,-17,-27,-27,-26,-26,-26,-26,-16,-16,-14,-14,-14,-14,-14,-14
54,-18,-18,-18,-18,-18,-18,-17,-17,-12,-12,-39,-39,-38,-38,-40,-40,-24,-20,-12,-12,-14,-14,-14,-14
55,-23,-23,-24,-24,-24,-24,-10,-11,4,4,-39,-39,-44,-44,-42,-42,-20,-20,-26,-26,-42,-42,-46,-46
56,-11,-11,-11,-11,-11,-11,-9,-9,-7,-7,-7,-7,-7,-7,-13,-13,-11,-11,-5,-5,-9,-9,-13,-13
57,-21,-21,-23,-23,-23,-23,-21,-21,-21,6,4,2,4,1,-2,-10,3,-7,12,4,-2,-2,-4,-4
58,-13,-13,-12,-12,-13,-13,-10,-10,-10,-10,-21,-21,-18,-18,-24,-24,-19,-19,1,1,-9,-9,-12,-12
60,-12,-12,-12,-12,-12,-12,-10,-10,-8,-8,-10,-10,-10,-10,-10,-10,-13,-13,-15,-15,-17,-17,-19,-19
61,-23,-23,-25,-25,-25,-25,-21,-21,-10,-10,-3,-3,-2,-2,-4,-4,-7,-7,-5,-5,-13,-13,-15,-15
62,-16,-16,-16,-16,-17,-17,-13,-13,-6,-6,-5,-4,-4,-4,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6
63,-18,-18,-18,-18,-19,-19,-15,-7,-2,-2,1,0,0,1,1,0,1,-1,0,0,-4,-4,-5,-5
64,-16,-16,-18,-18,-21,-21,-20,-11,-5,-5,-30,-30,-32,-32,-33,-33,-22,-22,-29,-29,-42,-40,-45,-45
65,-10,-10,-11,-11,-11,-11,-7,-8,-4,1,-1,2,-12,-12,-7,-5,1,1,8,5,-4,-4,-1,-1
66,-27,-27,-28,-28,-28,-28,-27,-27,-44,-44,-188,-188,-193,-193,-197,-197,-163,-163,-118,-118,-84,-84,-84,-84
67,-19,-19,-18,-18,-18,-18,-16,-16,-19,-19,-43,-43,-43,-43,-44,-44,-21,-21,-8,-8,-10,-10,-14,-14
68,-18,-18,-18,-18,-18,-18,-16,-16,-16,-16,-39,-39,-38,-38,-34,-24,-8,-5,-7,-7,3,2,1,1
70,-16,-16,-16,-16,-16,-16,-16,0,0,0,0,0,1,1,-1,0,0,0,0,0,-6,-6,-7,-7
71,-23,-23,-23,-23,-23,-23,-24,-24,-55,-55,-99,-99,-99,-99,-92,-92,-60,-60,-30,-30,-39,-39,-39,-39
72,-11,-11,-11,-11,-11,-11,-9,-9,-9,-9,-22,-22,-20,-20,-18,-18,-10,-2,4,4,0,0,-2,-2
73,-23,-23,-25,-25,-25,-25,-21,-21,-16,-16,-28,-28,-21,-21,-26,-26,-9,-13,0,0,-21,-21,-19,-19
74,-9,-9,-9,-9,-9,-9,-3,-8,2,2,-2,-2,0,0,2,-5,1,1,0,0,-14,-14,-19,-19
75,-13,-13,-13,-13,-13,-13,-11,-9,-2,-2,-8,-3,0,1,3,-3,-1,-3,5,5,0,0,-1,-1
76,-14,-14,-14,-14,-15,-15,-12,-12,-8,-8,-8,-8,-11,-11,-6,-3,1,1,2,2,1,1,0,0
77,-17,-17,-16,-16,-16,-16,-15,-15,-8,7,-8,1,4,2,0,-4,4,-3,6,4,4,3,1,1
78,-10,-10,-12,-12,-12,-12,-9,-7,0,0,-10,-10,-3,-3,-7,-7,-4,-5,3,3,3,3,0,0
80,-30,-30,-31,-31,-31,-31,-27,-27,-24,3,2,0,-2,-2,2,-1,2,0,4,4,-1,-1,-7,-7
