Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
1,-13,-13,-13,-13,-13,-13,-9,-9
2,-24,-24,-25,-25,-25,-25,-24,-24
3,-22,-22,-22,-22,-22,-22,-21,-21
4,-16,-16,-15,-15,-15,-4,-3,-8
5,-18,-18,-17,-17,-18,-18,-16,-16
6,-12,-12,-12,-12,-12,-12,-11,-11
7,-11,-11,-11,-11,-10,-10,-8,-8
8,-12,-12,-12,-12,-12,-12,-12,-12
9,-13,-13,-14,-14,-14,-14,-11,-11
10,-12,-12,-12,-12,-12,-12,-11,-11
11,-16,-16,-16,-16,-16,-16,-15,-15
12,-34,-34,-34,-34,-34,-34,-34,-34
13,-14,-14,-14,-14,-14,-14,-12,-12
14,-31,-31,-29,-29,-29,-47,0,-60
15,-17,-17,-18,-18,-18,-18,-17,-17
16,-14,-14,-14,-14,-14,-14,-11,-7
17,-18,-18,-18,-18,-18,-18,-16,-16
18,-17,-17,-18,-18,-18,-18,-17,-17
19,-21,-21,-21,-21,-21,-21,-19,-7
20,-19,-19,-19,-19,-19,-19,-19,-11
21,-11,-11,-11,-11,-11,-11,-10,-10
22,-12,-12,-13,-13,-14,-14,-13,-13
23,-11,-11,-7,-7,-7,-7,-6,-6
24,-24,-24,-22,-22,-23,-23,-22,-22
25,-21,-21,-22,-22,-22,-22,-4,-16
26,-13,-13,-16,-16,-15,-15,-14,-6
27,-23,-23,-23,-23,-23,-23,-23,-23
28,-12,-12,-13,-13,-13,-13,-11,-11
29,-15,-15,-15,-15,-15,-15,-10,-10
30,-15,-15,-18,-18,-19,-19,-11,-9
31,-24,-24,-25,-25,-27,-27,-22,-22
32,-29,-29,-30,-30,-29,-29,-25,-25
33,-12,-12,-11,-11,-10,-10,-10,-10
34,-11,-11,-11,-11,-11,-11,-9,-9
36,-18,-18,-17,-17,-16,-16,-13,-11
37,-10,-10,-10,-10,-10,-10,-8,-8
38,-11,-11,-11,-11,-11,-11,-11,-11
39,-24,-24,-23,-23,-25,-25,-21,-21
40,-9,-9,-9,-9,-9,-9,-7,-7
42,-19,-19,-19,-19,-18,-18,-12,-14
43,-11,-11,-12,-12,-12,-12,-11,-11
44,-14,-14,-14,-14,-14,-14,-14,-14
45,-17,-17,-18,-18,-18,-18,0,-22
46,-11,-11,-11,-11,-10,-10,-1,-11
47,-13,-13,-13,-13,-13,-13,-4,-6
48,-16,-16,-18,-18,-17,-17,-14,-14
49,-11,-11,-11,-11,-11,-11,-11,-11
50,-17,-17,-16,-16,-15,-15,-13,-13
51,-20,-20,-20,-20,-20,-20,-17,-17
52,-11,-11,-12,-12,-10,-10,-10,-6
53,-12,-12,-12,-12,-12,-12,-12,-12
54,-18,-18,-18,-18,-18,-18,-16,-14
55,-23,-23,-24,-24,-23,-23,-16,-17
56,-10,-10,-11,-11,-11,-11,-9,-9
57,-22,-22,-23,-23,-23,-23,-20,-20
58,-13,-13,-12,-12,-13,-13,-12,-12
60,-12,-12,-12,-12,-12,-12,-9,-9
61,-23,-23,-25,-25,-25,-25,-22,-22
62,-16,-16,-16,-16,-17,-17,-14,-14
63,-18,-18,-18,-18,-18,-18,-14,-7
64,-17,-17,-19,-19,-21,-21,-21,-12
65,-11,-11,-11,-11,-11,-11,-10,-5
66,-26,-26,-28,-28,-28,-28,-27,-27
67,-18,-18,-18,-18,-18,-18,-17,-17
68,-17,-17,-18,-18,-18,-18,-17,-17
70,-16,-16,-16,-16,-16,-16,-14,-4
71,-22,-22,-23,-23,-23,-23,-22,-22
72,-11,-11,-11,-11,-11,-11,-10,-10
73,-21,-21,-25,-25,-25,-25,-23,-23
74,-9,-9,-10,-10,-9,-9,-3,-9
75,-13,-13,-13,-13,-13,-13,-12,-9
76,-13,-13,-13,-13,-14,-14,-12,-12
77,-17,-17,-16,-16,-16,-16,-16,-16
78,-10,-10,-12,-12,-11,-11,-7,-7
80,-30,-30,-30,-30,-30,-30,-25,-25
81,-13,-13,-13,-13,-13,-13,-10,-10
82,-10,-10,-10,-10,-10,-10,-10,-10
