Time,Cycle Count,Moved Bikes,Cumulative Moved Bikes,Rebalanced Bikes,Cumulative Rebalanced Bikes,Rebalanced Cost,Cumulative Rebalance Cost,Time Average Rebalance Cost,Trips,Distance Moved,Cumulative Distance Moved,Supply Demand Gap Before Rebalance,Supply Demand Gap After Rebalance,Lyapunov,Lyapunov Drift,Cumulative Lyapunov,Time Average Conditional Drift
2017-09-01,0,566,566,0,0,0,0,0.0,0,0.0,0.0,0,0,133165.5,0.0,0.0,0.0
2017-09-01 02:00:00,1,169,735,0,0,0,0,0.0,0,0.0,0.0,0,0,141951.5,8786.0,8786.0,8786.0
2017-09-01 04:00:00,2,158,893,24,24,24,24,0.0,3,0.3237515823790512,0.3237515823790512,0,0,144291.0,2339.5,11125.5,5562.75
2017-09-01 06:00:00,3,2168,3061,224,248,224,248,8.0,37,12.447242410401488,12.77099399278054,4,3,115990.0,-28301.0,-17175.5,-5725.166666666668
2017-09-01 08:00:00,4,6470,9531,337,585,674,922,62.0,73,27.587094393963298,40.358088386743844,260,173,95945.0,-20045.0,-37220.5,-9305.125
2017-09-01 10:00:00,5,2350,11881,453,1038,906,1828,184.4,146,52.29314668416308,92.65123507090692,323,38,187244.0,91299.0,54078.5,10815.7
2017-09-01 12:00:00,6,3297,15178,232,1270,464,2292,304.6666666666667,118,40.22967314976622,132.88090822067315,230,138,176905.0,-10339.0,43739.5,7289.916666666668
2017-09-01 14:00:00,7,3252,18430,380,1650,760,3052,327.42857142857144,147,51.18644253556069,184.06735075623382,272,118,177470.0,565.0,44304.5,6329.2142857142835
2017-09-01 16:00:00,8,5888,24318,183,1833,366,3418,381.5,91,30.896669980985003,214.96402073721885,281,205,125305.0,-52165.0,-7860.5,-982.5625
2017-09-01 18:00:00,9,5932,30250,16,1849,32,3450,379.77777777777777,11,2.0132468120804776,216.9772675492993,255,244,128210.0,2905.0,-4955.5,-550.6111111111112
2017-09-01 20:00:00,10,2371,32621,10,1859,10,3460,345.0,5,0.8520449940785931,217.8293125433779,45,37,198306.0,70096.0,65140.5,6514.05
2017-09-01 22:00:00,11,1512,34133,0,1859,0,3460,314.54545454545456,0,0.0,217.8293125433779,10,10,217086.5,18780.5,83921.0,7629.181818181818
