Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft)
1,-13,-13,-14,-14
2,-25,-25,-24,-24
3,-22,-22,-22,-22
4,-16,-16,-15,-15
5,-17,-17,-19,-19
6,-12,-12,-10,-10
7,-11,-11,-11,-11
8,-12,-12,-12,-12
9,-12,-12,-14,-14
10,-12,-12,-11,-11
11,-16,-16,-17,-17
12,-33,-33,-31,-31
13,-13,-13,-14,-14
14,-32,-32,-28,-28
15,-18,-18,-18,-18
16,-15,-15,-15,-15
17,-18,-18,-19,-19
18,-17,-17,-18,-18
19,-21,-21,-21,-21
20,-18,-18,-18,-18
21,-10,-10,-13,-13
22,-12,-12,-11,-11
23,-11,-11,-11,-11
24,-23,-23,-23,-23
25,-22,-22,-20,-20
26,-13,-13,-15,-15
27,-22,-22,-24,-24
28,-12,-12,-14,-14
29,-15,-15,-16,-16
30,-16,-16,-15,-15
31,-25,-25,-27,-27
32,-29,-29,-30,-30
33,-11,-11,-12,-12
34,-11,-11,-11,-11
36,-18,-18,-16,-16
37,-10,-10,-16,-16
38,-11,-11,-11,-11
39,-25,-25,-16,-16
40,-10,-10,-6,-6
42,-19,-19,-18,-18
43,-12,-12,-10,-10
44,-14,-14,-14,-14
45,-18,-18,-17,-17
46,-11,-11,-13,-13
47,-13,-13,-11,-11
48,-17,-17,-18,-18
49,-11,-11,-8,-8
50,-18,-18,-18,-18
51,-20,-20,-20,-20
52,-11,-11,-12,-12
53,-11,-11,-12,-12
54,-18,-18,-18,-18
55,-23,-23,-20,-20
56,-10,-10,-12,-12
57,-22,-22,-21,-21
58,-14,-14,-11,-11
60,-12,-12,-12,-12
61,-23,-23,-23,-23
62,-16,-16,-19,-19
63,-18,-18,-21,-21
64,-17,-17,-16,-16
65,-11,-11,-11,-11
66,-27,-27,-27,-27
67,-19,-19,-19,-19
68,-17,-17,-18,-18
70,-16,-16,-16,-16
71,-22,-22,-24,-24
72,-11,-11,-11,-11
73,-23,-23,-24,-24
74,-10,-10,-10,-10
75,-13,-13,-13,-13
76,-14,-14,-13,-13
77,-18,-18,-22,-22
78,-11,-11,-11,-11
80,-31,-31,-33,-33
81,-13,-13,-12,-12
82,-10,-10,-10,-10
84,-17,-17,-17,-17
85,-27,-27,-27,-27
86,-16,-16,-16,-16
87,-10,-10,-8,-8
88,-17,-17,-21,-21
89,-11,-11,-13,-13
90,-18,-18,-18,-18
91,-14,-14,-13,-13
92,-28,-28,-30,-30
93,-25,-25,-25,-25
94,-19,-19,-22,-22
95,-10,-10,-9,-9
96,-17,-17,-19,-19
97,-11,-11,-14,-14
98,-36,-36,-34,-34
99,-10,-10,-10,-10
100,-15,-15,-13,-13
101,-14,-14,-15,-15
102,-11,-11,-11,-11
103,-12,-12,-12,-12
104,-22,-22,-21,-21
105,-18,-18,-20,-20
106,-14,-14,-14,-14
107,-13,-13,-16,-16
108,-19,-19,-20,-20
109,-37,-37,-37,-37
110,-11,-11,-10,-10
111,-18,-18,-20,-20
112,-29,-29,-29,-29
113,-13,-13,-13,-13
114,-15,-15,-16,-16
115,-23,-23,-23,-23
116,-13,-13,-14,-14
117,-17,-17,-17,-17
118,-9,-9,-10,-10
119,-11,-11,-10,-10
120,-11,-11,-11,-11
121,-15,-15,-11,-11
122,-15,-15,-10,-10
123,-12,-12,-13,-13
124,-14,-14,-12,-12
125,-13,-13,-14,-14
126,-36,-36,-36,-36
127,-11,-11,-11,-11
128,-15,-15,-15,-15
129,-11,-11,-8,-8
130,-15,-15,-10,-10
131,-11,-11,-12,-12
132,-23,-23,-20,-20
133,-12,-12,-12,-12
134,-14,-14,-13,-13
135,-13,-13,-15,-15
136,-21,-21,-22,-22
138,-12,-12,-12,-12
139,-12,-12,-13,-13
140,-23,-23,-24,-24
141,-20,-20,-14,-14
142,-16,-16,-16,-16
143,-16,-16,-16,-16
144,-31,-31,-36,-36
145,-16,-16,-16,-16
146,-23,-23,-25,-25
148,-11,-11,-11,-11
149,-12,-12,-11,-11
150,-19,-19,-14,-14
151,-18,-18,-17,-17
152,-13,-13,-14,-14
153,-17,-17,-16,-16
154,-23,-23,-23,-23
155,-13,-13,-11,-11
156,-22,-22,-23,-23
157,-25,-25,-26,-26
158,-12,-12,-13,-13
159,-26,-26,-24,-24
160,-14,-14,-14,-14
161,-11,-11,-11,-11
162,-13,-13,-12,-12
163,-17,-17,-15,-15
164,-11,-11,-11,-11
165,-10,-10,-11,-11
166,-17,-17,-17,-17
167,-12,-12,-13,-13
168,-13,-13,-12,-12
169,-11,-11,-12,-12
170,-21,-21,-21,-21
171,-8,-8,-9,-9
172,-12,-12,-13,-13
173,-9,-9,-7,-7
174,-25,-25,-25,-25
175,-18,-18,-17,-17
176,-16,-16,-17,-17
177,-16,-16,-17,-17
178,-13,-13,-14,-14
180,-11,-11,-9,-9
181,-14,-14,-13,-13
182,-12,-12,-14,-14
183,-16,-16,-16,-16
184,-22,-22,-22,-22
185,-9,-9,-11,-11
186,-11,-11,-10,-10
191,-18,-18,-16,-16
192,-10,-10,-7,-7
193,-42,-42,-42,-42
199,-16,-16,-14,-14
200,-8,-8,-12,-12
202,-24,-24,-23,-23
203,-9,-9,-9,-9
204,-13,-13,-12,-12
206,-24,-24,-29,-29
207,-12,-12,-12,-12
208,-14,-14,-16,-16
209,-21,-21,-21,-21
210,-14,-14,-12,-12
211,-23,-23,-21,-21
212,-11,-11,-10,-10
213,-24,-24,-22,-22
214,-21,-21,-22,-22
215,-37,-37,-37,-37
216,-20,-20,-20,-20
217,-10,-10,-11,-11
218,-13,-13,-13,-13
219,-20,-20,-21,-21
220,-18,-18,-19,-19
221,-11,-11,-14,-14
222,-30,-30,-39,-39
223,-15,-15,-17,-17
224,-10,-10,-10,-10
225,-21,-21,-21,-21
226,-16,-16,-15,-15
227,-16,-16,-17,-17
228,-28,-28,-25,-25
229,-15,-15,-20,-20
230,-20,-20,-21,-21
231,-20,-20,-20,-20
232,-11,-11,-11,-11
233,-14,-14,-11,-11
234,-15,-15,-15,-15
235,-25,-25,-26,-26
236,-20,-20,-20,-20
237,-21,-21,-21,-21
238,-22,-22,-24,-24
239,-17,-17,-19,-19
240,-9,-9,-9,-9
242,-16,-16,-15,-15
243,-17,-17,-22,-22
244,-12,-12,-12,-12
245,-20,-20,-20,-20
246,-27,-27,-27,-27
247,-35,-35,-31,-31
248,-18,-18,-20,-20
249,-29,-29,-29,-29
250,-7,-7,-5,-5
251,-22,-22,-22,-22
252,-19,-19,-20,-20
253,-20,-20,-22,-22
254,-11,-11,-11,-11
255,-15,-15,-16,-16
256,-10,-10,-10,-10
257,-11,-11,-12,-12
258,-16,-16,-16,-16
260,-12,-12,-13,-13
261,-10,-10,-12,-12
262,-24,-24,-27,-27
263,-14,-14,-14,-14
264,-13,-13,-14,-14
265,-11,-11,-13,-13
266,-28,-28,-28,-28
267,-15,-15,-15,-15
268,-19,-19,-21,-21
269,-31,-31,-35,-35
270,-20,-20,-21,-21
271,-22,-22,-22,-22
272,-13,-13,-11,-11
273,-24,-24,-28,-28
274,-24,-24,-25,-25
275,-13,-13,-13,-13
276,-16,-16,-14,-14
277,-10,-10,-8,-8
278,-10,-10,-15,-15
279,-16,-16,-17,-17
280,-7,-7,-8,-8
281,-11,-11,-12,-12
282,-28,-28,-27,-27
283,-10,-10,-11,-11
284,-14,-14,-14,-14
286,-24,-24,-26,-26
287,-15,-15,-16,-16
288,-22,-22,-22,-22
289,-10,-10,-9,-9
290,-9,-9,-4,-4
291,-22,-22,-20,-20
292,-11,-11,-11,-11
293,-17,-17,-17,-17
294,-10,-10,-12,-12
295,-18,-18,-19,-19
296,-12,-12,-12,-12
297,-11,-11,-11,-11
298,-13,-13,-17,-17
299,-13,-13,-13,-13
301,-15,-15,-15,-15
302,-19,-19,-19,-19
303,-18,-18,-17,-17
305,-10,-10,-10,-10
306,-11,-11,-11,-11
307,-15,-15,-15,-15
308,-14,-14,-15,-15
309,-27,-27,-24,-24
310,-13,-13,-13,-13
312,-14,-14,-15,-15
313,-26,-26,-26,-26
314,-24,-24,-25,-25
315,-11,-11,-11,-11
317,-22,-22,-20,-20
318,-11,-11,-12,-12
319,-14,-14,-11,-11
320,-17,-17,-16,-16
321,-16,-16,-16,-16
322,-18,-18,-18,-18
323,-16,-16,-16,-16
324,-9,-9,-6,-6
325,-11,-11,-12,-12
326,-16,-16,-17,-17
327,-15,-15,-14,-14
328,-15,-15,-13,-13
329,-16,-16,-19,-19
330,-22,-22,-23,-23
331,-21,-21,-20,-20
332,-13,-13,-13,-13
333,-24,-24,-24,-24
334,-6,-6,-6,-6
335,-22,-22,-23,-23
336,-11,-11,-11,-11
337,-11,-11,-11,-11
338,-15,-15,-14,-14
339,-17,-17,-16,-16
340,-11,-11,-11,-11
341,-14,-14,-15,-15
343,-25,-25,-25,-25
344,-11,-11,-11,-11
345,-23,-23,-21,-21
347,-10,-10,-11,-11
348,-11,-11,-11,-11
349,-12,-12,-13,-13
350,-14,-14,-14,-14
351,-18,-18,-21,-21
352,-13,-13,-12,-12
353,-11,-11,-14,-14
354,-24,-24,-25,-25
355,-14,-14,-13,-13
356,-9,-9,-9,-9
357,-20,-20,-21,-21
358,-13,-13,-14,-14
359,-12,-12,-12,-12
360,-17,-17,-18,-18
361,-38,-38,-37,-37
362,-38,-38,-39,-39
363,-16,-16,-16,-16
364,-27,-27,-28,-28
365,-32,-32,-32,-32
366,-18,-18,-18,-18
367,-10,-10,-12,-12
368,-16,-16,-16,-16
370,-14,-14,-14,-14
371,-15,-15,-15,-15
372,-15,-15,-16,-16
373,-12,-12,-11,-11
374,-24,-24,-22,-22
375,-12,-12,-12,-12
